p	M_p	T_p_minus_1
906617	-176	-126.9277353146
906749	-176	-130.6713906916
906847	-180	-134.9904557042
906973	-191	-144.1202658961
907141	-204	-147.5763757519
907237	-205	-148.3230355703
907369	-215	-156.6427764712
907471	-225	-166.8217116142
907637	-212	-155.4149203774
907727	-220	-161.3905286139
907849	-213	-160.5321994613
907999	-214	-163.0391881145
908137	-203	-157.3406883049
908317	-202	-155.0017513411
908449	-209	-156.5722658715
908539	-216	-162.4330644641
908627	-227	-169.0765720624
908771	-212	-159.1436505537
908863	-215	-165.4939969433
909019	-224	-169.4461408983
909107	-226	-173.3303207301
909247	-234	-178.3277643834
909331	-243	-187.9323387796
909457	-247	-192.3976188343
909611	-254	-198.3161543223
909743	-267	-206.8033328607
909859	-273	-214.2807622400
909973	-271	-214.8188723265
910109	-272	-211.1314289957
910213	-276	-214.0623132751
910451	-266	-199.4655903557
910619	-252	-189.3601066260
910751	-239	-182.8626806964
910909	-235	-177.3411375848
911077	-216	-166.5405230514
911171	-218	-174.3276643981
911291	-224	-178.8744194861
911371	-227	-183.1449165655
911593	-224	-171.7254581539
911707	-235	-180.5529898848
911837	-240	-182.6738639999
911947	-232	-177.9919961825
912061	-227	-177.5758424470
912227	-223	-176.8341529096
912397	-230	-176.0981981803
912487	-234	-181.5922438242
912631	-235	-178.4768000434
912829	-228	-173.4895888692
912953	-221	-170.0343462517
913063	-209	-161.9361180332
913279	-192	-143.5313685244
913433	-192	-140.6320194832
913589	-178	-130.4344622068
913811	-186	-128.3163466610
914021	-198	-132.6622787977
914219	-187	-122.9120072444
914351	-195	-123.7096486054
914467	-198	-125.4481417311
914581	-190	-119.6746648521
914723	-196	-125.5062630722
914827	-190	-123.7714582453
914951	-192	-127.8882326081
915071	-200	-135.2152901072
915221	-192	-128.6619677805
915367	-192	-129.0016673274
915547	-190	-125.3963523032
915659	-200	-131.5788904558
915799	-212	-137.8647386996
915961	-222	-140.1014524693
916103	-210	-130.6377459841
916189	-224	-143.6028209494
916339	-219	-135.6144392604
916469	-217	-136.9026745595
916613	-213	-130.2057784792
916787	-202	-123.5045480307
916933	-196	-115.6514291404
917083	-199	-117.1790804739
917173	-202	-120.3692676622
917291	-197	-120.9107026270
917461	-193	-118.0237585671
917611	-190	-116.5073445277
917729	-195	-120.8375459617
917809	-192	-121.8412918825
917927	-183	-118.4896380252
918103	-180	-114.0748328253
918199	-185	-116.4741690244
918341	-202	-128.1733277419
918443	-208	-130.8386761911
918613	-199	-121.4481235244
918763	-204	-124.7581775537
918889	-216	-133.7948060200
919019	-204	-127.0813367481
919147	-209	-129.4962216358
919267	-219	-138.5109412937
919417	-212	-133.9671905920
919591	-215	-133.5022374674
919759	-219	-129.9808256117
919901	-218	-128.5501789941
920011	-225	-134.5337359901
920197	-217	-122.3481439453
920281	-225	-130.6501970427
920411	-217	-126.1505801067
920539	-230	-134.0457484352
920729	-222	-127.7765917776
920833	-232	-135.1246626908
920971	-226	-130.6299239607
921121	-236	-133.8754039963
921223	-244	-140.4726914827
921379	-236	-136.7748538540
921523	-231	-131.1882397823
921667	-235	-134.9685340936
921787	-244	-140.8562008347
921919	-249	-145.9366638108
922067	-250	-149.0145600371
922217	-257	-154.8076605130
922321	-264	-160.1490296450
922463	-265	-160.0433719740
922601	-264	-159.7587032570
922681	-262	-161.9125225520
922861	-251	-153.7671379897
923051	-241	-144.1457266304
923179	-247	-147.6751605199
923333	-250	-147.2544773335
923441	-253	-151.1605578019
923551	-271	-161.6684491698
923653	-269	-161.2068491343
923833	-283	-169.9742166952
923953	-292	-177.1475756161
924037	-303	-186.5231568906
924151	-305	-187.0785727200
924337	-288	-174.2207417789
924437	-300	-184.1401262429
924601	-304	-184.4715300985
924719	-326	-202.7366816841
924809	-322	-201.7687167284
924961	-323	-201.9522706781
925079	-317	-200.7548886337
925159	-324	-208.2094548034
925279	-338	-218.4270183682
925409	-333	-215.0161885727
925559	-327	-206.9959101013
925669	-333	-211.1679478714
925843	-330	-208.8966886316
925979	-346	-217.1871910383
926111	-350	-219.9355136244
926227	-358	-225.7637726584
926377	-360	-224.5158188944
926507	-350	-216.1968669153
926633	-343	-212.8317761790
926767	-353	-221.4302578664
926903	-342	-216.0023965736
927049	-340	-217.8582567742
927191	-346	-224.5487314423
927373	-325	-208.8237930887
927541	-318	-201.8477914105
927677	-323	-203.1015669202
927821	-305	-189.5518114570
928001	-298	-184.9156734680
928153	-300	-184.8400700418
928273	-292	-183.5912184856
928427	-280	-172.0227146633
928561	-269	-163.2455778557
928679	-269	-162.4463283571
928819	-262	-160.1170104522
929003	-259	-155.2525431025
929077	-265	-161.2881817322
929207	-257	-159.8499206104
929333	-256	-157.7254566871
929497	-252	-154.2285246116
929609	-247	-149.5670105017
929737	-255	-158.1941988585
929861	-260	-163.1022847182
930011	-263	-165.4602878508
930157	-250	-156.8711132429
930277	-248	-158.2327337024
930437	-238	-154.2565668756
930571	-243	-156.9163101375
930719	-236	-152.8510303803
930859	-225	-144.4719747634
931013	-230	-147.1992044823
