p,n,n_prime,M_p,A,B,C,D,delta_W,DA_ratio,one_minus_DA,B_plus_C_plus_D_minus_A,C_plus_D_minus_A,one_minus_DA_times_p,one_minus_DA_times_p_over_M
239,17243,17481,-1,6.437179944536189e-05,2.6055465479523348e-05,8.803215156291152e-06,6.565591129755897e-05,-3.6142792488011575e-05,1.0199483603575044,-0.01994836035750433,3.6142792488011575e-05,1.0087327008488229e-05,-4.767658125443535,4.767658125443535
241,17545,17785,-2,6.430351085491158e-05,3.5439805326748766e-05,9.285430523627667e-06,6.419237602035838e-05,-4.461410101582323e-05,0.9982717143578062,0.0017282856421938146,4.461410101582323e-05,9.17429568907447e-06,0.4165168397687093,-0.20825841988435465
251,19025,19275,-2,5.903747809000664e-05,2.547634117514141e-05,8.085757524019891e-06,6.0556455292682456e-05,-3.5081075901837114e-05,1.0257290326724329,-0.02572903267243278,3.5081075901837114e-05,9.604734726695708e-06,-6.457987200780628,3.228993600390314
257,19949,20205,-2,5.6075314375105485e-05,2.597424709967796e-05,8.01144831305123e-06,5.7200027980750605e-05,-3.511040901837431e-05,1.0200571966145666,-0.020057196614566553,3.511040901837431e-05,9.13616191869635e-06,-5.1546995299436045,2.5773497649718022
263,20899,21161,-2,5.35964666005162e-05,2.4602443403402976e-05,7.3360355489294284e-06,5.4862685563028504e-05,-3.32046979148447e-05,1.0236250455081326,-0.02362504550813252,3.32046979148447e-05,8.602254511441727e-06,-6.2133869686388525,3.1066934843194263
269,21865,22133,-2,5.126836617783609e-05,2.2301587865372882e-05,7.077892807618238e-06,5.203755486460373e-05,-3.014866935975876e-05,1.0150031831344017,-0.015003183134401651,3.014866935975876e-05,7.847081494385877e-06,-4.035856263154044,2.017928131577022
271,22205,22475,-3,5.129031908810698e-05,2.8765917710397715e-05,7.21558066412724e-06,5.217771102582438e-05,-3.6868890312242346e-05,1.0173013534229145,-0.017301353422914414,3.6868890312242346e-05,8.102972601844631e-06,-4.688666777609806,1.5628889258699354
277,23171,23447,-4,4.895752112412649e-05,3.514308297864145e-05,6.8760135748341684e-06,4.93497738374696e-05,-4.2411349266818725e-05,1.0080121032343243,-0.008012103234324223,4.2411349266818725e-05,7.268266288177279e-06,-2.2193525959078095,0.5548381489769524
281,23861,24141,-4,4.85101919401489e-05,3.7268337068058194e-05,6.794748463399819e-06,4.771161480222976e-05,-4.326450839353887e-05,0.9835379513875266,0.016462048612473374,4.326450839353887e-05,5.996171325480673e-06,4.625835660105018,-1.1564589150262545
283,24233,24515,-6,4.8919708312287475e-05,4.377618249930283e-05,6.524414703149108e-06,4.960885232935958e-05,-5.098974121952405e-05,1.014087247059464,-0.01408724705946404,5.098974121952405e-05,7.213558720221218e-06,-3.9866909178283234,0.6644484863047205
293,25975,26267,-8,4.5559025756984363e-05,4.289941288399054e-05,5.99457918578618e-06,4.663568750343583e-05,-4.997065381622818e-05,1.0236322381473755,-0.02363223814737546,4.997065381622818e-05,7.071240932237647e-06,-6.924245777181009,0.8655307221476262
307,28481,28787,-2,3.966645994327764e-05,1.7075606097291464e-05,5.554519761548889e-06,4.0369803214224955e-05,-2.3333469129787665e-05,1.017731435372682,-0.017731435372682132,2.3333469129787665e-05,6.257863032496201e-06,-5.443550659413415,2.7217753297067073
311,29231,29541,-3,3.888280013265618e-05,2.1984618196941325e-05,5.3793482594862885e-06,3.930997100152049e-05,-2.7791137325291924e-05,1.0109861138448604,-0.010986113844860323,2.7791137325291924e-05,5.8065191283506e-06,-3.4166814057515604,1.1388938019171868
313,29637,29949,-4,3.898254420563098e-05,2.761241973499167e-05,5.4611632547561465e-06,3.896293289897689e-05,-3.305397168309373e-05,0.9994969208127967,0.0005030791872033223,3.305397168309373e-05,5.44155194810206e-06,0.1574637855946399,-0.03936594639865997
317,30405,30721,-4,3.8563482033403105e-05,2.8176196002991133e-05,5.211280318370585e-06,3.931412657306691e-05,-3.4138120861025524e-05,1.019465164971711,-0.019465164971711028,3.4138120861025524e-05,5.96192485803439e-06,-6.170457296032396,1.542614324008099
