p,M(p),R1,delta2_ratio,total,margin,method
1811,-7,0.993392888650,0.128706985079,1.122099873729,0.122099873729,float
1823,-3,0.998168501110,0.129085485057,1.127253986167,0.127253986167,float
1831,-3,0.994593035035,0.129824257948,1.124417292983,0.124417292983,float
1847,-2,0.999413173836,0.129923202900,1.129336376736,0.129336376736,float
1861,0,0.994973152387,0.130225908986,1.125199061373,0.125199061373,float
1867,-1,0.995759032544,0.130274904771,1.126033937315,0.126033937315,float
1871,-2,0.991471542207,0.129401060920,1.120872603127,0.120872603127,float
1873,-3,0.987188720282,0.130225483175,1.117414203457,0.117414203457,float
1877,-3,0.990831692953,0.129581740437,1.120413433390,0.120413433390,float
1879,-5,0.995523167625,0.128412496190,1.123935663815,0.123935663815,float
1889,-7,0.996740846059,0.128653767398,1.125394613456,0.125394613456,float
1901,-4,0.992377066620,0.130000000487,1.122377067107,0.122377067107,float
1907,-5,0.992028112079,0.129351526689,1.121379638768,0.121379638768,float
1913,-6,0.994601242930,0.129122873219,1.123724116150,0.123724116150,float
1931,-2,0.988142474576,0.129526886106,1.117669360681,0.117669360681,float
1933,-3,0.994560231476,0.129638987562,1.124199219039,0.124199219039,float
2017,0,0.982126998373,0.129243315204,1.111370313577,0.111370313577,float
2099,0,0.995225102377,0.128177016910,1.123402119287,0.123402119287,float
2113,0,0.993196470530,0.129480344263,1.122676814793,0.122676814793,float
2137,-1,0.994152211455,0.129231795382,1.123384006838,0.123384006838,float
2141,-2,0.996224037824,0.128179022530,1.124403060354,0.124403060354,float
2143,-3,0.990385084172,0.128297157961,1.118682242133,0.118682242133,float
2153,-2,0.987931022680,0.128630883555,1.116561906235,0.116561906235,float
2161,-2,0.987145742855,0.129627291274,1.116773034129,0.116773034129,float
2297,-1,0.987668654201,0.129204058615,1.116872712816,0.116872712816,float
2309,0,0.992926698517,0.128413133644,1.121339832160,0.121339832160,float
2311,-2,0.989380314750,0.128917986052,1.118298300802,0.118298300802,float
2339,-1,0.994336915303,0.128488414379,1.122825329682,0.122825329682,float
2341,-2,0.988182059764,0.129613207956,1.117795267720,0.117795267720,float
2347,-3,0.997115748802,0.128959955520,1.126075704322,0.126075704322,float
2351,-4,0.990066155883,0.128025520554,1.118091676437,0.118091676437,float
2357,-6,0.985868748076,0.127865149669,1.113733897745,0.113733897745,float
2371,-2,0.993013902280,0.128713512446,1.121727414726,0.121727414726,float
2377,-3,0.990007636797,0.129015100011,1.119022736808,0.119022736808,float
2381,-6,0.981824997114,0.128716478669,1.110541475783,0.110541475783,float
2383,-8,0.991507734849,0.127481610815,1.118989345664,0.118989345664,float
2389,-9,0.984324427114,0.126761735838,1.111086162952,0.111086162952,float
2393,-10,0.984009516370,0.126598423667,1.110607940037,0.110607940037,float
2399,-12,0.988249783293,0.125524451045,1.113774234338,0.113774234338,float
2411,-15,0.986331171070,0.125504069680,1.111835240749,0.111835240749,float
2417,-15,0.979915800366,0.125758600401,1.105674400767,0.105674400767,float
2423,-15,0.979715065094,0.125750019203,1.105465084296,0.105465084296,float
2437,-11,0.985500498878,0.127715199408,1.113215698285,0.113215698285,float
2441,-13,0.986271150211,0.126560836085,1.112831986296,0.112831986296,float
