p,M_p,B_plus_C,B_raw,delta_sq,R,n_farey
3659,-7,8758664.1279541310,8083691.4347855700,674972.6931685603,11.9763236596,4067721
3671,-3,7136037.5162418876,6457912.2747740233,678125.2414678640,9.5231852169,4094241
3673,-4,7866492.7203961276,7184614.0935646286,681878.6268314986,10.5364999149,4099063
3677,-6,8677479.9648831524,7995671.0252687577,681808.9396143953,11.7271431345,4107911
3691,-9,9407048.2905069776,8718467.2235578429,688581.0669491346,12.6614971599,4138879
3697,-7,8908643.4633121323,8217066.8078974616,691576.6554146707,11.8816428281,4152467
3701,-8,9596473.9669512250,8904591.9253870733,691882.0415641525,12.8701012462,4161857
3709,-9,9857745.0294772629,9163656.5507878140,694088.4786894481,13.2024328773,4179713
3719,-7,8870135.4412629288,8173520.7408322953,696614.7004306330,11.7332016332,4202229
3727,-8,9598774.0153644532,8896775.2751466520,701998.7402178013,12.6734917963,4220391
3733,-12,11636495.7866899651,10933858.6868313197,702637.0998586453,15.5611747359,4233821
3739,-10,11165334.0116009433,10460948.2224348206,704385.7891661224,14.8511630747,4247907
3761,-6,9311898.0599134024,8598693.7179644201,713204.3419489831,12.0564236814,4297417
3767,-8,9810694.0869974308,9094567.0825382508,716127.0044591804,12.6996566613,4311385
3769,-9,10608000.3322080672,9891327.7691987287,716672.5630093387,13.8017391480,4316399
3779,-6,9897690.9185816981,9179780.0387981869,717910.8797835110,12.7867961014,4339131
3793,-7,9265725.3354028575,8538760.6598545332,726964.6755483237,11.7457710767,4371369
3797,-8,10142660.2365948800,9414932.4967115447,727727.7398833351,12.9374379740,4380269
3803,-8,10337228.5131300520,9607216.1437265687,730012.3694034836,13.1603470659,4394465
3821,-8,10191730.1501826122,9455504.8849513307,736225.2652312806,12.8432224911,4435705
3823,-9,10911108.8000494074,10172928.5634167641,738180.2366326436,13.7810903877,4440533
3833,-7,9548713.7343607061,8808637.6482658423,740076.0860948643,11.9023406022,4464175
3847,-8,9702369.3955704719,8956355.8567703348,746013.5388001368,12.0056210658,4496359
3851,-8,10010485.5091590043,9261235.4212188423,749250.0879401625,12.3606731187,4505697
3853,-9,10828435.7611134611,10078096.1804630328,750339.5806504283,13.4313801915,4510819
3863,-12,12284098.2721848786,11532894.3969159815,751203.8752688977,15.3525491236,4534029
3877,-9,10233147.1030481812,9473852.1422451735,759294.9608030077,12.4771697842,4566771
3881,-11,11244281.4507552665,10482939.6454666406,761341.8052886265,13.7690319547,4576419
3889,-12,11421209.4043529201,10655895.8138943296,765313.5904585910,13.9235679945,4595355
3907,-8,9337383.3684745338,8565697.7049560770,771685.6635184564,11.0999829463,4637633
3911,-7,9125861.3477392644,8354087.6298868805,771773.7178523834,10.8245298287,4647503
3917,-10,11186723.3179441430,10411029.5930985287,775693.7248456149,13.4215725352,4661345
3919,-12,12214165.2683167048,11440991.2580910809,773174.0102256238,14.7974338335,4666565
3923,-13,12899829.5143100563,12124171.1561613306,775658.3581487263,15.6308135261,4676311
3929,-14,13517714.4532411937,12739302.3264608923,778412.1267803012,16.3657552191,4690329
3931,-14,14094928.6463776119,13314869.0112612117,780059.6351163995,17.0690398681,4695297
3943,-15,14244505.1689263843,13460473.1541261319,784032.0148002529,17.1682697900,4723867
3947,-16,15161582.0813450310,14375672.7185106799,785909.3628343517,18.2917692527,4733669
3967,-15,13422572.2939487249,12628703.7702526562,793868.5236960679,15.9078026062,4781509
3989,-10,10079843.3811996710,9279189.9140569270,800653.4671427438,11.5895206789,4834893
4001,-10,9912784.4042722005,9103843.8244446367,808940.5798275641,11.2540328072,4863603
4003,-10,10478184.6913274415,9670373.6906244643,807811.0007029778,11.9710844272,4868835
4007,-10,10901442.6836449765,10092358.4812100381,809084.2024349388,12.4738048906,4878391
4013,-12,12027695.7277301699,11214990.1016777139,812705.6260524567,13.7995723693,4893241
4019,-15,14058502.7531197350,13243623.5040000882,814879.2491196471,16.2522527335,4907593
4021,-16,14783854.4076833725,13966454.8167756312,817399.5909077420,17.0864470354,4912667
4027,-15,14921914.5729795825,14102813.6192355677,819100.9537440152,17.2174303482,4927209
4049,-13,12959352.6124802623,12132754.7382333241,826597.8742469380,14.6779408903,4981011
4051,-14,13827906.4570507873,12997262.9688144904,830643.4882362970,15.6472218863,4986139
4057,-14,13863005.0139259398,13031357.8325275071,831647.1813984327,15.6693344534,5001031
4073,-14,13217186.4518011101,12380886.6645731013,836299.7872280086,14.8043642407,5040559
4079,-13,13002189.4406894967,12164768.4328563977,837421.0078330990,14.5264667581,5055797
4091,-17,15036853.5466920733,14192812.4709358271,844041.0757562460,16.8153101533,5084927
4093,-18,15790374.2338846307,14943967.3778679743,846406.8560166557,17.6557730737,5090217
