p,M(p),delta_w,verified,method,margin_or_dw
3779,-6,-5.244623333747742e-07,PASS,wobble_float64,5.244623333747742e-07
3793,-7,-4.813435804631907e-07,PASS,wobble_float64,4.813435804631907e-07
3797,-8,-5.254040235528668e-07,PASS,wobble_float64,5.254040235528668e-07
3803,-8,-5.324518333210844e-07,PASS,wobble_float64,5.324518333210844e-07
3821,-8,-5.144880875369016e-07,PASS,wobble_float64,5.144880875369016e-07
3823,-9,-5.494671373222843e-07,PASS,wobble_float64,5.494671373222843e-07
3833,-7,-4.766789842785646e-07,PASS,wobble_float64,4.766789842785646e-07
3847,-8,-4.775756204587712e-07,PASS,wobble_float64,4.775756204587712e-07
3851,-8,-4.906069508786527e-07,PASS,wobble_float64,4.906069508786527e-07
3853,-9,-5.285236960146601e-07,PASS,wobble_float64,5.285236960146601e-07
3863,-12,-5.949442721784898e-07,PASS,wobble_float64,5.949442721784898e-07
3877,-9,-4.872597982351410e-07,PASS,wobble_float64,4.872597982351410e-07
3881,-11,-5.333415560525008e-07,PASS,wobble_float64,5.333415560525008e-07
3889,-12,-5.361857125019186e-07,PASS,wobble_float64,5.361857125019186e-07
3907,-8,-4.315825813341499e-07,PASS,wobble_float64,4.315825813341499e-07
3911,-7,-4.206160456050173e-07,PASS,wobble_float64,4.206160456050173e-07
3917,-10,-5.121468496675015e-07,PASS,wobble_float64,5.121468496675015e-07
3919,-12,-5.585189457891766e-07,PASS,wobble_float64,5.585189457891766e-07
3923,-13,-5.859501845208225e-07,PASS,wobble_float64,5.859501845208225e-07
3929,-14,-6.101059322312038e-07,PASS,wobble_float64,6.101059322312038e-07
3931,-14,-6.351452611170691e-07,PASS,wobble_float64,6.351452611170691e-07
3943,-15,-6.341187069234492e-07,PASS,wobble_float64,6.341187069234492e-07
3947,-16,-6.728379188297902e-07,PASS,wobble_float64,6.728379188297902e-07
3967,-15,-5.836421741210805e-07,PASS,wobble_float64,5.836421741210805e-07
3989,-10,-4.286575723956945e-07,PASS,wobble_float64,4.286575723956945e-07
4001,-10,-4.158360073804035e-07,PASS,wobble_float64,4.158360073804035e-07
4003,-10,-4.388427932710019e-07,PASS,wobble_float64,4.388427932710019e-07
4007,-10,-4.546717116569109e-07,PASS,wobble_float64,4.546717116569109e-07
4013,-12,-4.986557798465575e-07,PASS,wobble_float64,4.986557798465575e-07
