p,N,T_N,M_half,M_third,M_fifth,M_sixth,M_seventh,p_mod6,p_mod12,p_mod30,p_mod24
2922229,2922228,-40.1807312771,-77,25,-115,17,164,1,1,19,13
2923901,2923900,-57.8336216063,-93,20,-111,17,164,5,5,11,5
2923933,2923932,-57.8470931341,-94,17,-110,18,167,1,1,13,13
2925889,2925888,-59.2635185387,-94,36,-105,14,161,1,1,19,1
2926031,2926030,-59.4974435694,-95,32,-102,12,165,5,11,11,23
2926067,2926066,-59.2654952667,-96,35,-98,12,162,5,11,17,11
2937793,2937792,-33.8906541109,-63,80,-144,22,137,1,1,13,1
2938003,2938002,-41.3076691775,-61,76,-141,20,138,1,7,13,19
2938241,2938240,-42.2639661210,-61,76,-148,19,133,5,5,11,17
2938993,2938992,-44.2409334979,-67,85,-158,16,124,1,1,13,1
2943133,2943132,-1.3869249840,7,108,-148,5,142,1,1,13,13
2943137,2943136,-1.8893795082,6,108,-148,5,142,5,5,17,17
2943191,2943190,-2.1572597380,4,107,-147,2,144,5,11,11,23
2957267,2957266,-2.5771393809,-66,176,-146,1,189,5,11,17,11
2957873,2957872,-0.1124568579,-62,183,-136,-9,192,5,5,23,17
2985553,2985552,-54.0435140236,-259,297,-202,-25,164,1,1,13,1
2985847,2985846,-54.9434381775,-267,303,-204,-28,163,1,7,7,7
2985991,2985990,-57.2654920239,-264,292,-207,-22,161,1,7,1,7
2986429,2986428,-55.9204173024,-259,281,-212,-22,164,1,1,19,13
2986483,2986482,-55.1942440482,-257,281,-215,-23,164,1,7,13,19
2986637,2986636,-56.6499309833,-257,283,-219,-26,168,5,5,17,5
2986769,2986768,-60.1511857436,-264,278,-219,-24,171,5,5,29,17
3134039,3134038,0.6701961253,-14,268,-102,-141,33,5,11,29,23
3134071,3134070,-1.7380639051,-17,261,-101,-138,35,1,7,1,7
3134147,3134146,-3.3163400219,-20,262,-101,-138,35,5,11,17,11
3135529,3135528,5.4197559331,-3,245,-106,-145,36,1,1,19,1
3136543,3136542,24.4374815151,9,260,-98,-154,37,1,7,13,7
3136571,3136570,23.6544684093,6,262,-98,-155,38,5,11,11,11
3136597,3136596,24.6790458396,9,262,-97,-156,38,1,1,7,13
3136631,3136630,22.2395317162,7,254,-99,-152,36,5,11,11,23
3147971,3147970,21.6384792881,-13,272,-46,-136,40,5,11,11,11
3148031,3148030,18.8741065017,-20,268,-47,-134,42,5,11,11,23
3148051,3148050,18.2574169755,-21,267,-50,-133,43,1,7,1,19
3509533,3509532,60.4826966582,255,-67,207,-103,-68,1,1,13,13
3534673,3534672,135.6358324790,434,-11,151,-162,-49,1,1,13,1
3534743,3534742,135.9655438755,437,-15,150,-163,-49,5,11,23,23
3534787,3534786,134.7663052912,434,-14,148,-162,-51,1,7,7,19
3535087,3535086,133.3887388171,429,-6,151,-167,-48,1,7,7,7
3535141,3535140,134.5379209606,436,-8,152,-173,-45,1,1,1,13
3535177,3535176,133.9200760539,435,-6,149,-174,-48,1,1,7,1
3535369,3535368,137.3380972654,447,-1,148,-183,-57,1,1,19,1
3535373,3535372,136.6682311173,445,0,147,-183,-57,5,5,23,5
3535981,3535980,129.0091467721,438,-14,141,-179,-63,1,1,1,13
3536899,3536898,135.7514349939,462,-18,150,-185,-69,1,7,19,19
3536903,3536902,135.0634551941,461,-19,150,-185,-69,5,11,23,23
3536933,3536932,135.1108622558,466,-24,150,-184,-69,5,5,23,5
3536987,3536986,133.8065773068,464,-27,151,-182,-72,5,11,17,11
3632399,3632398,51.6889033709,350,-20,37,-213,-126,5,11,29,23
3632507,3632506,51.8071307147,347,-19,35,-215,-123,5,11,17,11
3632513,3632512,50.9009456043,346,-20,34,-214,-124,5,5,23,17
3632599,3632598,49.5952691546,339,-17,38,-214,-122,1,7,19,7
3632609,3632608,49.9112478799,340,-16,37,-215,-121,5,5,29,17
3632753,3632752,48.8151489452,341,-26,39,-211,-120,5,5,23,17
3632821,3632820,44.5408802478,335,-32,38,-207,-118,1,1,1,13
3632831,3632830,43.8246683221,333,-30,36,-208,-118,5,11,11,23
3633349,3633348,31.1375240808,331,-35,26,-208,-125,1,1,19,13
3634901,3634900,40.6738497519,347,-64,37,-192,-128,5,5,11,5
3634913,3634912,40.0712444551,346,-66,37,-191,-128,5,5,23,17
