p,wobble_p,wobble_pm1,delta_w,farey_size_p,mertens_p,m_over_sqrt_p,violation
1217,5.192973309017810e-04,5.170805450576046e-04,-2.216785844176387e-06,450817,-2,-0.0573303650,0
1223,5.154232002422899e-04,5.128493625192306e-04,-2.573837723059288e-06,455271,-3,-0.0857843424,0
1229,5.144474498909454e-04,5.120509671826375e-04,-2.396482708307891e-06,459763,-2,-0.0570497905,0
1231,5.162003946597033e-04,5.135513964673495e-04,-2.648998192353812e-06,461313,-2,-0.0570034274,0
1237,5.154952585158338e-04,5.124485855299025e-04,-3.046672985931235e-06,465733,-3,-0.0852975201,0
1249,5.083899339410823e-04,5.056975051580807e-04,-2.692428783001612e-06,474807,-3,-0.0848867752,0
1259,5.034148724756909e-04,5.013655231500688e-04,-2.049349325622092e-06,482481,-1,-0.0281829944,0
1277,4.908953822507537e-04,4.896785508422478e-04,-1.216831408505908e-06,496143,1,0.0279836623,0
1279,4.914423506780278e-04,4.898612023414129e-04,-1.581148336614866e-06,497841,0,0.0000000000,0
1283,4.912233875962850e-04,4.893026659006101e-04,-1.920721695674883e-06,500995,-1,-0.0279181523,0
1289,4.904856603845463e-04,4.885345777603184e-04,-1.951082624227917e-06,505621,0,0.0000000000,0
1291,4.927662394908595e-04,4.905860037793236e-04,-2.180235711535857e-06,507247,0,0.0000000000,0
1297,4.920794139053198e-04,4.896872015067711e-04,-2.392212398548768e-06,511921,0,0.0000000000,0
1301,4.916116128640633e-04,4.889719569886960e-04,-2.639655875367282e-06,515145,-1,-0.0277243487,0
1303,4.949942631457187e-04,4.921400676262311e-04,-2.854195519487587e-06,516807,-1,-0.0277030632,0
1307,4.967340554799448e-04,4.937303284209463e-04,-3.003727058998522e-06,520085,-1,-0.0276606388,0
1319,4.920684892423395e-04,4.890194341473436e-04,-3.049055094995925e-06,529513,-1,-0.0275345258,0
1321,4.945695841785776e-04,4.912430010062866e-04,-3.326583172291058e-06,531153,-2,-0.0550273485,0
1327,4.951189737207385e-04,4.918930993772526e-04,-3.225874343485888e-06,535979,-1,-0.0274514026,0
1361,4.697332445418864e-04,4.687767606046101e-04,-9.564839372763019e-07,563629,6,0.1626380609,0
1367,4.707821843649391e-04,4.699340804489982e-04,-8.481039159409184e-07,568593,7,0.1893275360,0
1373,4.694450747609483e-04,4.683795928227453e-04,-1.065481938202959e-06,573773,6,0.1619257740,0
1381,4.624162887910668e-04,4.611451593202716e-04,-1.271129470795205e-06,580297,4,0.1076373884,0
1399,4.602520832585544e-04,4.602951027464698e-04,4.301948791537698e-08,595609,8,0.2138853948,1
1409,4.577469982815208e-04,4.580267306171691e-04,2.797323356482887e-07,604081,9,0.2397656770,1
1423,4.530974172465375e-04,4.538010819297138e-04,7.036646831763476e-07,616063,11,0.2916018233,1
1427,4.496965196394235e-04,4.499867547101901e-04,2.902350707665213e-07,619573,9,0.2382486908,1
1429,4.491471005962797e-04,4.492043340302753e-04,5.723343399563355e-08,621385,8,0.2116283630,1
1433,4.489584487147682e-04,4.488931501666567e-04,-6.529854811146473e-08,624945,8,0.2113327925,0
1439,4.463451269205244e-04,4.461233652279914e-04,-2.217616925330587e-07,630209,7,0.1845302810,0
1447,4.395854258074536e-04,4.389891682486103e-04,-5.962575588433451e-07,637067,4,0.1051539826,0
