p,M,n,old_D_sq,delta_sq,dilution_raw,C_A,C_W,W
1831,-3,1018143,361219559.470707,168728.923709,1299671.774562,0.129824,0.637683,0.00034846
1833,-4,1020885,363763080.707025,168737.035182,1306732.709211,0.129129,0.639426,0.00034903
1873,-3,1065423,387796529.444083,177621.297587,1363951.918292,0.130225,0.639537,0.00034163
1877,-3,1070023,390491010.924313,177584.521524,1370444.021855,0.129582,0.639820,0.00034106
1879,-5,1072523,393660880.738443,177185.663117,1379816.360359,0.128412,0.642695,0.00034222
1885,-4,1079389,397528292.970477,178695.644281,1388928.215362,0.128657,0.642825,0.00034120
1887,-6,1081613,398100343.081564,178879.062007,1389539.223526,0.128733,0.641786,0.00034029
1889,-7,1083693,397806176.413203,178483.426482,1387315.972880,0.128654,0.639530,0.00033873
1901,-4,1097459,404672536.725414,182313.217762,1402409.362146,0.130000,0.638382,0.00033599
1905,-5,1102479,408569633.431635,183169.887313,1412432.018467,0.129684,0.640018,0.00033614
1907,-5,1104439,409094759.632531,182802.115042,1413219.617280,0.129352,0.639239,0.00033538
1913,-6,1111493,413603931.295340,183896.036538,1424194.118001,0.129123,0.640117,0.00033479
1933,-3,1134849,427068180.433111,188669.372194,1455344.381669,0.129639,0.640661,0.00033160
