p,M_p,B_raw,delta_sq,B_plus_C,ratio,n_farey
4649,-3,9127297.7611206677,1091102.0173754611,10218399.7784961294,8.3652102331,6567305
5147,-3,12567334.5758485366,1335440.9444563838,13902775.5203049202,9.4106254777,8049867
5167,-3,11182801.6294039059,1348763.4393244479,12531565.0687283538,8.2911512155,8112335
5179,-3,11328694.9931037407,1353228.6533735171,12681923.6464772578,8.3716044327,8150711
5237,-3,10965961.4619989954,1385678.4278696566,12351639.8898686524,7.9137852199,8334019
5939,-3,25206290.9326351546,1777650.0906639977,26983941.0232991539,14.1795570821,10718769
5953,-3,23092697.3169307299,1790936.2761242790,24883633.5930550098,12.8942037887,10769189
6113,-3,17826821.1946450658,1888440.8105814490,19715262.0052265152,9.4399681974,11355637
6131,-3,16483011.8342731427,1897934.1509886016,18380945.9852617458,8.6847121781,11422657
6199,-3,12347843.8731718101,1940449.5005121829,14288293.3736839928,6.3633935693,11677827
7193,-3,28248956.2475961857,2616373.3433352951,30865329.5909314826,10.7969897796,15723245
7207,-3,26508315.3611006141,2622749.8946699328,29131065.2557705455,10.1070694598,15783913
7211,-3,28587218.3515452147,2629879.7979258779,31217098.1494710930,10.8701615846,15801647
7229,-3,32582859.0824840292,2640471.6239562333,35223330.7064402625,12.3397876299,15880949
7589,-3,36109136.7326397002,2909360.4242357593,39018497.1568754613,12.4113658905,17502283
7603,-3,37058314.6533327922,2922037.5567678423,39980352.2101006359,12.6823539853,17566829
7607,-3,37874710.4592661858,2922868.6879722048,40797579.1472383887,12.9580608993,17585777
7717,-3,41604303.2558185980,3010816.2972062621,44615119.5530248582,13.8182802101,18097533
7883,-3,38170124.7300174832,3138936.4135355945,41309061.1435530782,12.1602096065,18885513
7933,-3,38639687.2306124195,3180507.8031964973,41820195.0338089168,12.1489050245,19125065
7937,-3,40362383.0816037729,3183561.9384080134,43545945.0200117826,12.6783721701,19144851
9241,-3,43454292.5209566206,4326770.8149494752,47781063.3359060958,10.0431232389,25953023
9277,-3,43364673.0915621147,4354009.9047359414,47718682.9962980598,9.9597093347,26153851
9281,-3,44640382.7794075161,4355295.5204209015,48995678.2998284176,10.2496794007,26177529
