p,mertens_p,m_over_sqrt_p,abs_m
2719,-13,-0.2493094545,13
2729,-12,-0.2297097759,12
2731,-14,-0.2678965900,14
2741,-14,-0.2674074594,14
2749,-13,-0.2479453583,13
2753,-15,-0.2858828832,15
2767,-16,-0.3041693174,16
2777,-18,-0.3415738110,18
2789,-19,-0.3597736430,19
2791,-20,-0.3785733842,20
2797,-23,-0.4348921844,23
2801,-23,-0.4345815470,23
2803,-25,-0.4722026933,25
2819,-21,-0.3955230124,21
2833,-23,-0.4321201804,23
2837,-25,-0.4693646100,25
2843,-23,-0.4313595388,23
2851,-24,-0.4494823399,24
2857,-23,-0.4303013571,23
2861,-22,-0.4113047755,22
2879,-20,-0.3727427141,20
2887,-19,-0.3536146173,19
2897,-19,-0.3530037779,19
2903,-17,-0.3155189176,17
2909,-18,-0.3337341466,18
2917,-18,-0.3332761921,18
2927,-17,-0.3142227030,17
2939,-17,-0.3135805578,17
2953,-15,-0.2760320657,15
2957,-18,-0.3310143662,18
2963,-16,-0.2939369320,16
2969,-16,-0.2936397758,16
2971,-17,-0.3118872316,17
2999,-6,-0.1095627735,6
3001,-7,-0.1277806351,7
3011,-6,-0.1093442305,6
3019,-7,-0.1273991362,7
3023,-8,-0.1455026535,8
3037,-6,-0.1088751721,6
3041,-6,-0.1088035437,6
3049,-3,-0.0543303550,3
3061,-6,-0.1084475102,6
3067,-3,-0.0541706899,3
3079,-3,-0.0540650253,3
3083,-6,-0.1080598818,6
3089,-5,-0.0899624036,5
3109,7,0.1255416057,7
3119,6,0.1074344495,6
3121,5,0.0895000175,5
3137,5,0.0892714821,5
3163,11,0.1955883978,11
3167,10,0.1776953112,10
3169,9,0.1598753064,9
3181,6,0.1063823099,6
3187,5,0.0885684354,5
3191,6,0.1062154879,6
3203,10,0.1766938894,10
3209,10,0.1765286262,10
3217,12,0.2115707938,12
3221,11,0.1938194348,11
3229,13,0.2287754034,13
3251,16,0.2806153979,16
3253,15,0.2629960510,15
3257,16,0.2803568059,16
3259,15,0.2627538443,15
3271,17,0.2972409559,17
3299,20,0.3482080747,20
3301,19,0.3306974444,19
3307,19,0.3303973106,19
3313,17,0.2953508353,17
3319,20,0.3471573539,20
3323,18,0.3122535140,18
3329,19,0.3293037705,19
3331,18,0.3118783219,18
3343,18,0.3113180610,18
3347,15,0.2592766477,15
3359,16,0.2760673082,16
3361,15,0.2587360852,15
3371,13,0.2239050950,13
3373,12,0.2066203417,12
3389,14,0.2404873580,14
3391,14,0.2404164283,14
3407,14,0.2398512405,14
3413,15,0.2567574861,15
3433,15,0.2560084837,15
3449,15,0.2554139784,15
3457,14,0.2381103898,14
3461,15,0.2549708075,15
3463,13,0.2209108804,13
3467,13,0.2207834073,13
3469,12,0.2037413109,12
3491,10,0.1692485964,10
3499,12,0.2028660041,12
3511,12,0.2025190266,12
3517,10,0.1686218368,10
3527,10,0.1683826229,10
3529,9,0.1515014119,9
3533,6,0.1009437493,6
3539,4,0.0672387622,4
3541,3,0.0504148282,3
3547,5,0.0839536167,5
3557,5,0.0838355218,5
3559,3,0.0502871775,3
3571,2,0.0334684092,2
3581,4,0.0668432920,4
3583,3,0.0501184753,3
3593,1,0.0166828940,1
3607,0,0.0000000000,0
3613,0,0.0000000000,0
3617,-3,-0.0498823609,3
3623,-5,-0.0830683984,5
3631,-5,-0.0829768378,5
3637,-7,-0.1160717118,7
3643,-8,-0.1325441003,8
3659,-7,-0.1157222410,7
3671,-3,-0.0495141197,3
3673,-4,-0.0660008498,4
3677,-6,-0.0989474111,6
