p,mertens_p,m_over_sqrt_p,abs_m
6971,-22,-0.2634966751,22
6977,-23,-0.2753553218,23
6983,-24,-0.2872038257,24
6991,-26,-0.3109594052,26
6997,-27,-0.3227808993,27
7001,-26,-0.3107372437,26
7013,-28,-0.3343536833,28
7019,-28,-0.3342107463,28
7027,-29,-0.3459497500,29
7039,-24,-0.2860590942,24
7043,-25,-0.2978935943,25
7057,-25,-0.2975979601,25
7069,-21,-0.2497700173,21
7079,-19,-0.2258227256,19
7103,-16,-0.1898449615,16
7109,-17,-0.2016251318,17
7121,-12,-0.1422036531,12
7127,-14,-0.1658344124,14
7129,-15,-0.1776548023,15
