Sieving to 10000000...
Sieve complete.
HYPERBOLA MODE: Computing alpha for M(p)=-3 primes up to 10000000
p,M_p,T_N,alpha_approx,T_positive,alpha_lt_1
8213347,-3,5.330745,-4.330745,1,1
8214097,-3,5.382319,-4.382319,1,1
8214103,-3,4.653679,-3.653679,1,1
8214113,-3,5.586836,-4.586836,1,1
8216099,-3,11.617003,-10.617003,1,1
8224763,-3,0.202516,0.797484,1,1
8225593,-3,12.657777,-11.657777,1,1
8225597,-3,12.497373,-11.497373,1,1
8226083,-3,11.271910,-10.271910,1,1
8226209,-3,8.771525,-7.771525,1,1
8226767,-3,7.418988,-6.418988,1,1
8230583,-3,17.894368,-16.894368,1,1
8231369,-3,15.681399,-14.681399,1,1
8231827,-3,16.039740,-15.039740,1,1
8232821,-3,16.938857,-15.938857,1,1
8300519,-3,57.211366,-56.211366,1,1
8300771,-3,53.232779,-52.232779,1,1
8300881,-3,51.268723,-50.268723,1,1
8300959,-3,50.610268,-49.610268,1,1
8303857,-3,34.513990,-33.513990,1,1
8303861,-3,33.819100,-32.819100,1,1
8303863,-3,33.104812,-32.104812,1,1
8304917,-3,41.969099,-40.969099,1,1
8315387,-3,47.884772,-46.884772,1,1
8315513,-3,48.132272,-47.132272,1,1
8315651,-3,45.535658,-44.535658,1,1
8319877,-3,36.238839,-35.238839,1,1
8319881,-3,35.788291,-34.788291,1,1
8321311,-3,43.375094,-42.375094,1,1
8321389,-3,43.520177,-42.520177,1,1
8321393,-3,42.867355,-41.867355,1,1
8323457,-3,56.309735,-55.309735,1,1
8323789,-3,55.456547,-54.456547,1,1
8323883,-3,55.137043,-54.137043,1,1
8323891,-3,54.944347,-53.944347,1,1
8323933,-3,54.894247,-53.894247,1,1
8324051,-3,54.344423,-53.344423,1,1
8324171,-3,58.111822,-57.111822,1,1
8327243,-3,58.992885,-57.992885,1,1
8327261,-3,58.995119,-57.995119,1,1
8332651,-3,51.558857,-50.558857,1,1
