p,mertens_p,m_over_sqrt_p,cross_term_handoff
9973,-35,-0.350473458970,-7.965824643134653640e+07
10007,-21,-0.209926538565,-5.329952587605784919e+07
10009,-22,-0.219901066775,-5.594581999626436946e+07
10037,-19,-0.189649472415,-4.865268193080315181e+07
10039,-19,-0.189630580202,-5.047815333313972476e+07
10061,-18,-0.179453498975,-4.824962281903209606e+07
10067,-18,-0.179400013256,-4.821421930534820314e+07
10069,-19,-0.189347872824,-5.121522773226926182e+07
10079,-15,-0.149410987610,-4.725345236516190708e+07
10091,-15,-0.149322123018,-4.702619223961639657e+07
10093,-16,-0.159261149507,-4.965214444999474048e+07
10099,-17,-0.169164697033,-5.113085903406632667e+07
10103,-16,-0.159182311252,-5.123950708135324453e+07
10111,-17,-0.169064282681,-5.373159838987318698e+07
10133,-15,-0.149012341051,-4.860357406716683602e+07
10139,-17,-0.168830676178,-5.263999376003402424e+07
10141,-18,-0.178744263915,-5.528999626561313378e+07
10151,-18,-0.178656199534,-5.580738954801806901e+07
10159,-20,-0.198428712966,-5.873018026002778450e+07
10163,-20,-0.198389659883,-5.958916201982318020e+07
10169,-20,-0.198331123469,-6.172342743394729601e+07
10177,-18,-0.178427839911,-5.866931044465460664e+07
10181,-20,-0.198214205917,-6.315549130554205044e+07
10193,-21,-0.208002369637,-6.253845863037639046e+07
10211,-24,-0.237507377121,-6.664071395888112405e+07
10223,-20,-0.197806616910,-5.891307918816769736e+07
10243,-17,-0.167971397313,-5.234981063839286989e+07
10247,-20,-0.197574834836,-5.829900639721323238e+07
10253,-20,-0.197517016515,-5.950911873805756651e+07
10259,-25,-0.246824061156,-6.761070264015297950e+07
10267,-25,-0.246727880320,-6.729868457984211524e+07
10271,-25,-0.246679832047,-7.016355858418987708e+07
10273,-26,-0.256522051172,-7.294989394679952165e+07
10289,-30,-0.295756754001,-8.006602398850547680e+07
10301,-30,-0.295584435039,-8.067376543266597123e+07
10303,-30,-0.295555744484,-8.250027095547133349e+07
10313,-31,-0.305259497488,-8.461861518308362777e+07
10321,-30,-0.295297904887,-8.284834478364424218e+07
10331,-34,-0.334508945521,-8.911820831554464555e+07
10333,-35,-0.344314117285,-9.181950962943778224e+07
10337,-34,-0.334411850377,-9.200996091327516326e+07
10343,-35,-0.344147629138,-9.327090971279366935e+07
10357,-34,-0.334088809488,-9.139446752718194742e+07
10369,-32,-0.314254525871,-8.591570370016668236e+07
10391,-32,-0.313921677115,-8.434606297210055742e+07
10399,-31,-0.303994624942,-8.222766647477347966e+07
10427,-24,-0.235034467108,-6.719383405196108039e+07
10429,-25,-0.244804093127,-6.951911440750865899e+07
10433,-25,-0.244757159827,-7.197105768723339474e+07
10453,-24,-0.234741981658,-6.702547457913228103e+07
10457,-23,-0.224918035712,-6.670556464553315338e+07
10459,-24,-0.234674639945,-6.928851068868229120e+07
10463,-25,-0.244406018390,-7.289916420554625795e+07
10477,-20,-0.195394135011,-6.413122672979201211e+07
10487,-21,-0.205066000255,-6.449534028112717624e+07
10499,-21,-0.204948775017,-6.261491921615626277e+07
10501,-22,-0.214687793064,-6.556034820609802162e+07
