Sieving to 243799 ...
Sieve done. Scanning qualifying primes (M(p) <= -3) up to 200000 ...
p,M_p,R,min_R_so_far
5153,-4,10.14307382,0.11989382
5167,-3,8.29115122,0.11989382
5179,-3,8.37160443,0.11989382
5237,-3,7.91378522,0.11989382
5303,-4,6.76245568,0.11989382
5309,-6,7.69479757,0.11989382
5867,-4,15.18739003,0.11989382
5869,-5,16.24695393,0.11989382
5879,-5,16.54545454,0.11989382
5881,-6,17.52290673,0.11989382
5897,-9,19.30363316,0.11989382
5903,-12,20.78835726,0.11989382
5923,-6,16.14411624,0.11989382
5927,-6,16.50953039,0.11989382
5939,-3,14.17955708,0.11989382
5953,-3,12.89420379,0.11989382
5987,-4,10.61909389,0.11989382
6101,-6,11.16874458,0.11989382
6113,-3,9.43996820,0.11989382
6131,-3,8.68471218,0.11989382
6133,-4,9.55693356,0.11989382
6143,-6,11.00049102,0.11989382
6151,-8,12.40892644,0.11989382
6163,-5,10.08255147,0.11989382
6173,-4,9.46126786,0.11989382
6199,-3,6.36339357,0.11989382
6203,-5,7.99741944,0.11989382
6211,-6,8.51955302,0.11989382
6217,-10,11.02260313,0.11989382
6221,-10,11.47684411,0.11989382
6229,-10,11.70803889,0.11989382
6247,-7,9.93691215,0.11989382
6257,-9,11.97331544,0.11989382
6263,-8,11.79710744,0.11989382
6269,-10,13.01987615,0.11989382
6271,-12,14.26407496,0.11989382
6277,-12,14.98329155,0.11989382
6287,-13,14.97676968,0.11989382
6299,-13,14.68026459,0.11989382
6301,-14,15.67426052,0.11989382
6311,-21,19.99231020,0.11989382
6317,-21,20.02708941,0.11989382
6323,-22,20.66105062,0.11989382
6329,-22,21.45593051,0.11989382
6337,-20,20.53585820,0.11989382
6343,-17,19.33613366,0.11989382
6353,-18,19.86872095,0.11989382
6359,-21,22.61610614,0.11989382
6361,-22,23.52245194,0.11989382
6367,-24,25.54081620,0.11989382
6373,-25,26.15116510,0.11989382
6379,-25,26.01700224,0.11989382
6389,-23,23.90195514,0.11989382
6397,-24,24.57058684,0.11989382
6421,-20,21.24179137,0.11989382
6427,-20,21.51982621,0.11989382
6449,-15,16.50296475,0.11989382
6451,-16,17.43144206,0.11989382
6469,-15,15.52955115,0.11989382
6473,-17,16.57389547,0.11989382
6481,-20,19.10448499,0.11989382
6491,-17,17.26829557,0.11989382
6521,-12,12.23169632,0.11989382
6529,-13,12.40124987,0.11989382
6547,-11,9.64431415,0.11989382
6551,-13,11.13053737,0.11989382
6553,-14,12.10622559,0.11989382
6563,-15,12.31524552,0.11989382
6569,-18,14.77686596,0.11989382
6571,-19,15.67200062,0.11989382
6577,-22,17.84358678,0.11989382
6581,-22,18.46327348,0.11989382
6599,-20,15.85260194,0.11989382
6607,-21,17.31212346,0.11989382
6619,-19,14.88085372,0.11989382
6637,-15,11.31721405,0.11989382
6653,-13,9.81957035,0.11989382
6659,-15,11.20468391,0.11989382
6661,-16,12.16121547,0.11989382
6673,-12,10.11612951,0.11989382
6679,-13,10.47685359,0.11989382
6689,-15,11.84224208,0.11989382
6691,-15,12.55269284,0.11989382
6701,-16,13.69668701,0.11989382
6703,-18,15.03441087,0.11989382
6709,-19,15.48428207,0.11989382
6719,-17,15.13618256,0.11989382
6733,-16,14.63783577,0.11989382
6737,-17,15.70211754,0.11989382
6761,-16,14.21488603,0.11989382
6763,-17,15.16808649,0.11989382
6779,-17,14.07393244,0.11989382
6781,-18,14.92780759,0.11989382
6791,-17,14.70017716,0.11989382
6793,-18,15.79183248,0.11989382
6803,-17,14.94947946,0.11989382
6823,-13,11.88027100,0.11989382
6827,-13,12.16236247,0.11989382
6829,-14,13.32441451,0.11989382
6833,-16,14.85855470,0.11989382
6841,-16,14.70226161,0.11989382
6857,-19,16.98121880,0.11989382
6863,-20,17.83359657,0.11989382
6869,-19,17.91965783,0.11989382
6871,-19,18.63871929,0.11989382
6883,-20,19.25817043,0.11989382
6899,-18,17.48572845,0.11989382
6907,-17,16.68308106,0.11989382
6911,-19,18.39757676,0.11989382
6917,-19,18.25408833,0.11989382
6947,-15,15.40182140,0.11989382
6949,-16,16.44406851,0.11989382
6959,-17,17.77634417,0.11989382
6961,-18,18.73092091,0.11989382
6967,-21,20.76607153,0.11989382
6971,-22,22.15633275,0.11989382
6977,-23,22.54614739,0.11989382
6983,-24,23.33074541,0.11989382
6991,-26,24.65593257,0.11989382
6997,-27,25.29300288,0.11989382
7001,-26,25.11664490,0.11989382
7013,-28,26.01506079,0.11989382
7019,-28,26.74839641,0.11989382
7027,-29,27.46512708,0.11989382
7039,-24,24.43734645,0.11989382
7043,-25,25.19000882,0.11989382
7057,-25,25.53610312,0.11989382
7069,-21,23.15713191,0.11989382
7079,-19,22.48681225,0.11989382
7103,-16,18.21837400,0.11989382
7109,-17,19.30019556,0.11989382
7121,-12,16.41067621,0.11989382
7127,-14,17.50540505,0.11989382
7129,-15,18.47549873,0.11989382
7151,-6,12.35457199,0.11989382
7159,-6,11.70447295,0.11989382
7193,-3,10.79698978,0.11989382
7207,-3,10.10706946,0.11989382
7211,-3,10.87016158,0.11989382
7213,-4,11.98446508,0.11989382
7229,-3,12.33978763,0.11989382
7589,-3,12.41136589,0.11989382
7591,-5,13.63734906,0.11989382
7603,-3,12.68235399,0.11989382
7607,-3,12.95806090,0.11989382
7691,-5,14.04047201,0.11989382
7699,-5,14.03207285,0.11989382
7703,-6,15.11361011,0.11989382
7717,-3,13.81828021,0.11989382
7723,-5,15.14596940,0.11989382
7727,-5,15.51377546,0.11989382
7741,-6,14.66348556,0.11989382
7753,-6,14.19114623,0.11989382
7757,-5,14.44031652,0.11989382
7759,-6,15.55320547,0.11989382
7883,-3,12.16020961,0.11989382
7933,-3,12.14890502,0.11989382
7937,-3,12.67837217,0.11989382
7949,-4,12.99367066,0.11989382
7951,-5,13.92664068,0.11989382
7963,-10,16.34161493,0.11989382
7993,-4,10.59987369,0.11989382
9221,-4,10.56112916,0.11989382
9227,-4,10.62621371,0.11989382
9241,-3,10.04312324,0.11989382
9277,-3,9.95970933,0.11989382
9281,-3,10.24967940,0.11989382
9283,-5,11.52348668,0.11989382
9293,-6,12.21366835,0.11989382
9311,-4,9.89460237,0.11989382
9319,-4,10.01563467,0.11989382
9323,-7,12.21067491,0.11989382
9337,-5,11.19174135,0.11989382
9341,-6,12.58941931,0.11989382
9343,-7,13.63658817,0.11989382
9349,-5,12.60574726,0.11989382
9371,-4,10.80928484,0.11989382
9377,-7,12.89246910,0.11989382
9391,-3,9.95018560,0.11989382
9397,-3,10.34688113,0.11989382
9403,-8,13.57527415,0.11989382
9413,-7,12.71921998,0.11989382
9419,-11,15.74874426,0.11989382
9421,-12,16.59089684,0.11989382
9431,-14,17.52642209,0.11989382
9433,-15,18.54894788,0.11989382
9437,-16,19.76784686,0.11989382
9439,-17,20.74006450,0.11989382
9461,-17,20.53520833,0.11989382
9463,-17,21.21516434,0.11989382
9467,-18,22.23317649,0.11989382
9473,-18,22.26378096,0.11989382
9479,-21,24.10191083,0.11989382
9491,-21,23.44022442,0.11989382
9497,-22,23.93546885,0.11989382
9511,-20,22.84422682,0.11989382
9521,-22,24.34690544,0.11989382
9533,-22,23.07930931,0.11989382
9539,-22,23.48147110,0.11989382
9547,-24,25.34748053,0.11989382
9551,-25,26.00808924,0.11989382
9587,-19,19.61897239,0.11989382
9601,-18,18.43029431,0.11989382
9613,-17,17.66161955,0.11989382
9619,-16,17.47044364,0.11989382
9623,-18,18.53259053,0.11989382
9629,-17,18.72329241,0.11989382
9631,-18,19.61953847,0.11989382
9643,-19,19.83411705,0.11989382
9649,-19,19.82960000,0.11989382
9661,-19,19.85317716,0.11989382
9677,-17,17.53431695,0.11989382
9679,-19,18.88893230,0.11989382
9689,-22,20.69615650,0.11989382
9697,-25,21.88990584,0.11989382
9719,-32,25.05916219,0.11989382
9721,-33,26.06715340,0.11989382
9733,-32,25.20243744,0.11989382
