p,M,n,A,B,C,D,B_A,C_A,D_A,BCD_A
1733,-9,912079,1176200.951102,1714586.603254,150940.722257,1172776.165032,1.457733,0.128329,0.997088,2.583150
1741,-9,920495,1186439.946238,1655767.491320,152899.260105,1176025.253303,1.395576,0.128872,0.991222,2.515671
1747,-11,926843,1197539.978549,1857434.064443,153168.499490,1192398.007441,1.551041,0.127903,0.995706,2.674650
1753,-12,933229,1210244.144983,2030709.313486,154803.382479,1195093.159156,1.677934,0.127911,0.987481,2.793326
1759,-12,939681,1224623.399320,1998647.657169,154770.725417,1219638.565662,1.632051,0.126382,0.995929,2.754363
1777,-7,958839,1239827.793499,1543177.549435,159373.433452,1219135.200900,1.244671,0.128545,0.983310,2.356526
1783,-7,965431,1245605.915745,1548158.853201,160434.056256,1240133.853618,1.242896,0.128800,0.995607,2.367303
1787,-8,969697,1250273.794899,1706876.930505,160541.980553,1240907.399552,1.365203,0.128405,0.992509,2.486116
1789,-9,972075,1259544.446212,1899041.091142,161039.275246,1247948.385690,1.507721,0.127855,0.990793,2.626369
1801,-7,985059,1269871.880766,1586208.022602,164185.426762,1250056.632982,1.249109,0.129293,0.984396,2.362797
1811,-7,996023,1280029.548448,1597154.154622,164748.743993,1277390.521811,1.247748,0.128707,0.997938,2.374393
1823,-3,1009345,1289545.421413,1174950.645850,166461.596226,1292743.252331,0.911136,0.129085,1.002480,2.042701
1831,-3,1018143,1299671.774562,1195706.033897,168728.923709,1297429.352813,0.920006,0.129824,0.998275,2.048105
1873,-3,1065423,1363951.918292,1090215.654222,177621.297587,1350040.903364,0.799307,0.130225,0.989801,1.919333
1877,-3,1070023,1370444.021855,1215625.268669,177584.521524,1362474.370805,0.887030,0.129582,0.994185,2.010797
1879,-5,1072523,1379816.360359,1446889.122601,177185.663117,1379470.369878,1.048610,0.128412,0.999749,2.176772
1889,-7,1083693,1387315.972880,1799503.430907,178483.426482,1389797.408152,1.297111,0.128654,1.001789,2.427554
1901,-4,1097459,1402409.362146,1424173.269405,182313.217762,1396515.150973,1.015519,0.130000,0.995797,2.141316
1907,-5,1104439,1413219.617280,1526258.925060,182802.115042,1407598.841636,1.079987,0.129352,0.996023,2.205361
1913,-6,1111493,1424194.118001,1616146.218554,183896.036538,1422391.805541,1.134779,0.129123,0.998735,2.262637
1933,-3,1134849,1455344.381669,1165460.501506,188669.372194,1451656.806001,0.800814,0.129639,0.997466,1.927919
2143,-3,1394975,1805972.244049,2430053.238438,231701.106269,1795100.911339,1.345565,0.128297,0.993980,2.467843
2347,-3,1672979,2156622.629131,2345333.800291,278117.958326,2156571.118449,1.087503,0.128960,0.999976,2.216439
2351,-4,1678929,2167779.814233,2592235.746070,277531.139164,2154316.880051,1.195802,0.128026,0.993790,2.317617
2357,-6,1687499,2184026.226341,2976484.130493,279260.840312,2161456.786593,1.362843,0.127865,0.989666,2.480374
2377,-3,1716135,2216222.205080,2593685.740623,285926.129436,2199940.893563,1.170318,0.129015,0.992654,2.291987
2381,-6,1721839,2225756.089328,3168644.346334,286491.486194,2192321.086098,1.423626,0.128716,0.984978,2.537321
2383,-8,1725011,2240854.221118,3530296.847600,285667.705709,2230728.947126,1.575425,0.127482,0.995482,2.698388
2389,-9,1733609,2266320.263619,3999685.334771,287282.690580,2240144.471327,1.764837,0.126762,0.988450,2.880049
2393,-10,1739597,2278528.442466,4256251.331013,288458.109098,2251614.930213,1.867983,0.126598,0.988188,2.982769
2399,-12,1748297,2299486.723674,4532848.623865,288641.808675,2283644.915798,1.971244,0.125524,0.993111,3.089879
2411,-15,1765609,2329033.263431,4985088.507756,292303.152980,2308196.427624,2.140411,0.125504,0.991053,3.256969
2417,-15,1774455,2337287.623640,5050087.191942,293934.020284,2301241.156806,2.160661,0.125759,0.984578,3.270998
2423,-15,1783431,2350561.689166,5064712.908101,295583.177550,2313631.655386,2.154682,0.125750,0.984289,3.264721
2437,-11,1803861,2349166.543092,4322779.878647,300024.273493,2323791.954863,1.840133,0.127715,0.989198,2.957047
