p,M_p,R,B_plus_C_sign,margin_above_neg1
743,-5,7.249847,1,8.249847
751,-3,6.129826,1,7.129826
757,-3,6.028093,1,7.028093
761,-4,7.219478,1,8.219478
769,-3,6.217136,1,7.217136
773,-2,5.957526,1,6.957526
787,-2,4.831374,1,5.831374
797,-1,3.356118,1,4.356118
809,1,2.015842,1,3.015842
811,0,2.996493,1,3.996493
821,2,2.124051,1,3.124051
823,0,3.520428,1,4.520428
827,-2,4.955676,1,5.955676
829,-3,5.897507,1,6.897507
839,-3,5.804200,1,6.804200
853,0,3.824376,1,4.824376
857,-2,5.346565,1,6.346565
859,-2,6.068962,1,7.068962
863,-3,7.372279,1,8.372279
877,0,5.349415,1,6.349415
881,1,5.237314,1,6.237314
883,0,6.226353,1,7.226353
887,-1,7.554641,1,8.554641
907,-1,5.037939,1,6.037939
911,-1,5.368178,1,6.368178
919,0,4.377679,1,5.377679
929,3,2.397230,1,3.397230
937,4,2.278256,1,3.278256
941,3,3.156112,1,4.156112
947,1,4.124406,1,5.124406
953,2,3.858796,1,4.858796
967,4,2.078370,1,3.078370
971,1,4.069838,1,5.069838
977,2,3.757152,1,4.757152
983,2,3.466126,1,4.466126
991,1,4.012557,1,5.012557
997,1,4.099298,1,5.099298
1009,1,3.473534,1,4.473534
1013,0,4.487753,1,5.487753
1019,-1,5.333159,1,6.333159
1021,-2,6.123784,1,7.123784
1031,-5,7.292485,1,8.292485
1033,-6,8.385801,1,9.385801
1039,-8,9.670213,1,10.670213
1049,-5,8.110666,1,9.110666
1051,-6,8.986392,1,9.986392
1061,-5,8.063233,1,9.063233
1063,-6,9.209687,1,10.209687
1069,-8,10.584901,1,11.584901
1087,-8,8.826698,1,9.826698
1091,-10,10.208392,1,11.208392
1093,-11,11.075657,1,12.075657
1097,-12,11.931636,1,12.931636
1103,-12,12.064118,1,13.064118
1109,-15,13.886997,1,14.886997
1117,-13,12.892124,1,13.892124
1123,-12,12.555989,1,13.555989
1129,-12,12.733379,1,13.733379
1151,-6,7.227504,1,8.227504
1153,-7,8.171755,1,9.171755
1163,-6,7.208528,1,8.208528
1171,-5,6.354720,1,7.354720
1181,-6,6.572929,1,7.572929
1187,-8,7.891324,1,8.891324
1193,-6,6.810982,1,7.810982
1201,-5,6.354921,1,7.354921
1213,-2,4.579396,1,5.579396
1217,-2,5.078382,1,6.078382
1223,-3,6.159890,1,7.159890
1229,-2,5.689189,1,6.689189
1231,-2,6.425323,1,7.425323
1237,-3,7.568448,1,8.568448
1249,-3,6.735317,1,7.735317
1259,-1,5.075229,1,6.075229
1277,1,2.664870,1,3.664870
1279,0,3.789549,1,4.789549
1283,-1,4.856144,1,5.856144
1289,0,5.002333,1,6.002333
1291,0,5.719750,1,6.719750
1297,0,6.427808,1,7.427808
1301,-1,7.272813,1,8.272813
1303,-1,7.994713,1,8.994713
1307,-1,8.582063,1,9.582063
1319,-1,8.903485,1,9.903485
1321,-2,9.750716,1,10.750716
1327,-1,9.615250,1,10.615250
1361,6,2.309666,1,3.309666
1367,7,2.045828,1,3.045828
1373,6,2.744606,1,3.744606
1381,4,3.529541,1,4.529541
1399,8,-1.006496,0,-0.006496
1409,9,-1.900089,0,-0.900089
1423,11,-3.497416,0,-2.497416
1427,9,-1.947220,0,-0.947220
1429,8,-1.101078,0,-0.101078
1433,8,-0.619079,1,0.380921
1439,7,-0.071761,1,0.928239
1447,4,1.335982,1,2.335982
1451,3,2.485203,1,3.485203
1453,2,3.496821,1,4.496821
1459,2,3.627128,1,4.627128
1471,3,2.691864,1,3.691864
1481,3,2.740822,1,3.740822
1483,3,3.445269,1,4.445269
1487,3,4.235425,1,5.235425
1489,2,5.235237,1,6.235237
1493,-1,6.991429,1,7.991429
1499,-3,8.674373,1,9.674373
1511,-3,8.052666,1,9.052666
1523,0,6.090933,1,7.090933
1531,0,5.710553,1,6.710553
1543,0,4.432878,1,5.432878
1549,-2,6.126642,1,7.126642
1553,-4,7.810859,1,8.810859
1559,-4,7.727886,1,8.727886
1567,-3,6.987160,1,7.987160
